Name,ID,Profile L X,Profile R X,Profile L Length,Profile R Length,Profile L Width,Profile R Width,Profile L Shape,Profile R Shape,Cross Section y,Cross Section T x,Cross Section F x,Cross Section T L Thickness ,Cross Section T R Thickness ,Cross Section F L Thickness ,Cross Section F R Thickness ,Cross Section T L Shape,Cross Section T R Shape ,Cross Section F L Shape ,Cross Section F R Shape ,Weight,Material
Red Dragon Longsword,0,,,96.5,96.5,2.75;1.05,2.75;1.05,,,0;96.5,2.75;1.05,2.75;1.05,0.85 0.4;0.45 0.3,0.85 0.4;0.45 0.3,0.85 0.4;0.45 0.3,0.85 0.4;0.45 0.3,N,,,,606,Plastic SteelCore
Red Dragon Single Hand,1,,,86.5,86.5,2.75;1.05,2.75;1.05,,,0;86.5,2.75;1.05,2.75;1.05,0.85 0.4;0.45 0.3,0.85 0.4;0.45 0.3,0.85 0.4;0.45 0.3,0.85 0.4;0.45 0.3,N,,,,525,Plastic SteelCore
Test Sword,2,,,4;83;8,4;83;8,3;10;5;0.5,3;10;5;0.5,,,0;4;83;8,3;5 5;5;0.5,3;5 5;5;0.5,1;3.5 3 2;1.5 1;0.5,1;3.5 3 2;1.5 1;0.5,1;3.5 3 2;1.5 1;0.5,1;3.5 3 2;1.5 1;0.5,N,,,,,Steel
